Manufacturer,Minimum Price,Average Price,Maximum Price
ferrari,89990,102970,115950
porsche,5000,65205,138850
rolls,39600,62295,84990
fisker,47000,47000,47000
maserati,18500,37982,47995
tesla,37950,37950,37950
mercedes-benz,2500,18176,125990
jeep,1850,15507,33395
dodge,1100,14421,81990
subaru,1500,14016,23800
chevrolet,1004,13189,59990
chrysler,1200,12793,44990
mustang,1200,12747,57900
lincoln,1250,12665,79495
mini,2200,12460,19950
ford,1200,12323,69990
jaguar,3000,12133,35505
buick,1200,12112,19940
hyundai,1200,11952,19580
infiniti,1650,11807,23698
audi,1200,11771,62091
toyota,1080,11023,32355
lexus,2000,11003,34000
fiat,4700,10831,19100
scion,2500,10751,17000
cadillac,1260,10650,18999
kia,1100,10582,21600
mazda,1575,10549,23995
honda,1100,10171,34636
nissan,1200,10124,26000
bmw,1100,9751,121432
gmc,1100,8685,31890
land,3000,7900,12900
acura,1440,6247,18500
suzuki,2000,5799,10498
mitsubishi,1760,5790,12810
volvo,1050,5131,18350
